height,weight,size
156.0,65.7,m
166.5,53.4,xs
171.1,66.3,s
166.0,78.2,l
157.2,88.6,xl
170.7,83.7,xl
164.4,73.2,xl
167.1,76.0,l
152.1,54.5,s
159.0,68.4,xl
170.7,99.0,xl
166.8,74.2,xl
165.4,78.1,xl
166.6,71.8,m
159.9,70.9,l
167.3,67.2,m
164.7,62.0,s
167.8,59.5,s
167.9,74.1,m
161.5,60.5,s
151.7,80.0,xl
167.4,74.7,l
162.3,49.1,xs
166.8,70.3,xl
164.4,71.5,m
157.9,70.8,xl
144.6,48.8,xs
162.0,69.1,l
168.4,73.0,l
161.9,61.0,m
159.2,65.8,xl
165.5,70.9,l
172.3,72.8,xl
167.7,84.6,xl
165.4,94.5,xl
163.4,62.7,m
168.3,57.8,m
155.2,52.4,xs
161.7,73.2,xl
158.8,79.1,xl
164.1,89.4,xl
168.5,68.9,l
165.6,75.8,xl
160.3,73.1,xl
160.8,74.8,m
166.4,80.6,xl
161.9,71.4,m
162.0,71.2,xl
172.0,65.7,s
158.2,47.7,xs
172.0,69.6,l
172.0,119.6,xl
170.1,88.7,xl
162.7,75.4,xl
153.6,67.8,l
154.6,60.7,m
165.4,57.2,s
160.5,68.9,l
163.0,71.2,xl
161.2,60.4,m
175.7,69.7,m
167.0,85.4,xl
163.2,61.7,l
163.5,79.0,xl
168.2,67.2,m
166.1,69.5,m
159.6,66.9,l
159.6,57.4,m
166.5,81.5,xl
161.7,61.8,s
155.5,64.5,m
157.8,55.7,s
158.1,61.4,m
169.8,66.8,m
155.4,73.0,xl
175.6,73.7,m
156.6,69.3,xl
165.1,75.7,xl
158.5,74.0,xl
165.7,68.2,l
171.9,86.7,xl
182.2,88.2,xl
164.9,78.6,l
168.7,62.2,s
169.8,78.2,xl
153.0,60.8,s
158.1,67.4,l
160.9,68.6,m
164.4,67.0,m
154.8,63.5,s
160.6,77.3,xl
164.2,55.5,s
162.2,72.7,xl
166.9,59.3,xs
174.5,99.8,xl
149.5,58.1,xl
149.3,64.2,l
164.1,75.8,xl
160.7,68.3,l
156.0,47.1,xs
162.5,66.5,m
167.0,68.5,l
161.6,57.9,s
158.2,64.7,xl
173.0,59.1,s
150.1,45.0,xs
151.5,57.2,m
157.6,72.1,xl
162.8,67.6,m
158.6,71.1,xl
173.7,79.1,l
157.6,53.6,s
162.6,63.9,m
160.4,62.8,m
167.3,78.8,xl
164.2,59.8,m
153.8,75.2,xl
157.4,68.6,l
163.7,66.8,xl
162.0,61.3,m
173.3,74.2,m
152.6,52.2,xs
173.2,76.7,l
162.4,66.1,l
150.7,50.5,s
156.0,63.7,l
164.0,66.6,l
167.5,61.0,xs
152.6,58.1,m
162.3,60.9,m
158.4,57.5,xs
167.1,79.7,xl
155.2,74.5,xl
163.3,61.4,m
153.0,67.7,l
160.6,50.8,xs
161.7,63.3,m
164.5,71.1,l
168.1,72.7,m
165.5,67.9,l
162.6,83.3,xl
163.5,62.2,s
157.2,61.6,m
160.8,57.3,s
166.2,50.7,xs
158.2,61.1,m
170.1,86.6,xl
160.2,52.3,s
154.9,67.6,xl
156.1,54.9,s
167.7,57.1,s
159.4,64.4,l
162.8,64.9,m
154.9,59.2,m
155.9,56.3,xs
161.9,58.0,m
169.0,81.0,xl
169.8,64.9,m
170.5,65.4,m
162.5,57.0,m
166.6,80.5,xl
155.9,67.1,l
159.5,67.3,l
163.4,55.0,s
164.3,70.8,l
166.7,53.8,m
166.1,77.1,l
156.0,60.2,m
161.0,71.9,l
161.0,61.7,m
168.2,76.1,xl
160.4,73.9,xl
154.0,56.0,s
163.8,64.7,s
165.6,72.4,l
159.7,70.8,xl
174.9,95.3,xl
166.1,74.8,l
152.6,70.0,xl
158.3,65.5,xl
153.3,49.9,xs
157.5,55.3,xs
177.6,92.4,xl
171.3,71.6,xl
165.3,67.6,s
151.6,64.1,xl
165.8,66.6,m
161.7,66.3,l
168.7,76.3,l
160.3,71.7,xl
153.9,64.3,l
160.3,59.1,m
162.0,52.9,s
161.7,69.4,l
160.0,69.9,xl
157.2,59.2,s
